literature,"Who wrote The Trial?","Franz Kafka wrote The Trial."
literature,"Which American poet wrote Song of Myself?","Walt Whitman wrote Song of Myself."
literature,"Who wrote Invisible Man?","Ralph Ellison wrote Invisible Man."
literature,"Which novel features Jay Gatsby?","The Great Gatsby by F. Scott Fitzgerald."
literature,"Who wrote David Copperfield?","Charles Dickens wrote David Copperfield."
literature,"Which play includes Prospero and Ariel?","The Tempest by William Shakespeare."
literature,"Who wrote Cry, the Beloved Country?","Alan Paton wrote Cry, the Beloved Country."
literature,"Which French writer created Jean Valjean?","Victor Hugo in Les Misérables."
literature,"Who wrote Blood Meridian?","Cormac McCarthy wrote Blood Meridian."
literature,"Which poet wrote Kubla Khan?","Samuel Taylor Coleridge wrote Kubla Khan."
literature,"Who wrote Middlemarch?","George Eliot wrote Middlemarch."
literature,"Which play features the line 'Et tu, Brute?'","Julius Caesar by William Shakespeare."
literature,"Who wrote Native Son?","Richard Wright wrote Native Son."
literature,"Which novelist created the character Ishmael?","Herman Melville in Moby-Dick."
literature,"Who wrote Mrs. Dalloway?","Virginia Woolf wrote Mrs. Dalloway."
literature,"Which poet wrote Howl?","Allen Ginsberg wrote Howl."
literature,"Who wrote The Road?","Cormac McCarthy wrote The Road."
literature,"Which novel features Winston Smith?","1984 by George Orwell."
literature,"Who wrote Great Expectations?","Charles Dickens wrote Great Expectations."
literature,"Which play features Iago as the villain?","Othello by William Shakespeare."
literature,"Who wrote Tess of the d’Urbervilles?","Thomas Hardy wrote Tess of the d’Urbervilles."
literature,"Which poet wrote The Second Coming?","W.B. Yeats wrote The Second Coming."
literature,"Who wrote The Handmaid’s Tale?","Margaret Atwood wrote The Handmaid’s Tale."
literature,"Which novel features Gregor Samsa’s transformation?","The Metamorphosis by Franz Kafka."
literature,"Who wrote Robinson Crusoe?","Daniel Defoe wrote Robinson Crusoe."
literature,"Which American poet wrote I Hear America Singing?","Walt Whitman wrote it."
literature,"Who wrote Their Eyes Were Watching God?","Zora Neale Hurston wrote Their Eyes Were Watching God."
literature,"Which English novelist wrote Jude the Obscure?","Thomas Hardy wrote Jude the Obscure."
literature,"Who wrote A Farewell to Arms?","Ernest Hemingway wrote A Farewell to Arms."
literature,"Which Russian author wrote Dead Souls?","Nikolai Gogol wrote Dead Souls."
literature,"Who wrote The Color Purple?","Alice Walker wrote The Color Purple."
literature,"Which playwright wrote A Streetcar Named Desire?","Tennessee Williams wrote A Streetcar Named Desire."
literature,"Who wrote The Call of the Wild?","Jack London wrote The Call of the Wild."
literature,"Which poet wrote The Tyger?","William Blake wrote The Tyger."
literature,"Who wrote Remembrance of Things Past?","Marcel Proust wrote it, also known as In Search of Lost Time."
literature,"Which American author wrote Uncle Tom’s Cabin?","Harriet Beecher Stowe wrote Uncle Tom’s Cabin."
literature,"Who wrote On the Road?","Jack Kerouac wrote On the Road."
literature,"Which English author wrote Far from the Madding Crowd?","Thomas Hardy wrote Far from the Madding Crowd."
literature,"Who wrote The Jungle?","Upton Sinclair wrote The Jungle."
literature,"Which poet wrote The Prelude?","William Wordsworth wrote The Prelude."
literature,"Who wrote Sons and Lovers?","D.H. Lawrence wrote Sons and Lovers."
literature,"Which play features the character Viola?","Twelfth Night by William Shakespeare."
literature,"Who wrote Lolita?","Vladimir Nabokov wrote Lolita."
literature,"Which author wrote The Adventures of Sherlock Holmes?","Sir Arthur Conan Doyle wrote it."
literature,"Who wrote Eugene Onegin?","Alexander Pushkin wrote Eugene Onegin."
literature,"Which novel features Pip as protagonist?","Great Expectations by Charles Dickens."
literature,"Who wrote The House of Mirth?","Edith Wharton wrote The House of Mirth."
literature,"Which novelist created Leopold Bloom?","James Joyce in Ulysses."
literature,"Who wrote The Maltese Falcon?","Dashiell Hammett wrote The Maltese Falcon."
literature,"Which poet wrote To Autumn?","John Keats wrote To Autumn."
literature,"Who wrote The Turn of the Screw?","Henry James wrote The Turn of the Screw."
literature,"Which American author wrote The Red Badge of Courage?","Stephen Crane wrote The Red Badge of Courage."
literature,"Who wrote Ceremony?","Leslie Marmon Silko wrote Ceremony."
literature,"Which play includes Shylock the moneylender?","The Merchant of Venice by William Shakespeare."
literature,"Who wrote Go Tell It on the Mountain?","James Baldwin wrote Go Tell It on the Mountain."
literature,"Which poet wrote Ozymandias?","Percy Bysshe Shelley wrote Ozymandias."
literature,"Who wrote Kim?","Rudyard Kipling wrote Kim."
literature,"Which novel features Clarissa Dalloway?","Mrs. Dalloway by Virginia Woolf."
literature,"Who wrote The Age of Innocence?","Edith Wharton wrote The Age of Innocence."
literature,"Which play ends with the lovers Pyramus and Thisbe?","A Midsummer Night’s Dream includes that play-within-a-play."
literature,"Who wrote The Magic Mountain?","Thomas Mann wrote The Magic Mountain."
literature,"Which poet wrote Dover Beach?","Matthew Arnold wrote Dover Beach."
literature,"Who wrote Herzog?","Saul Bellow wrote Herzog."
literature,"Which American author wrote The Naked and the Dead?","Norman Mailer wrote it."
literature,"Who wrote No Exit?","Jean-Paul Sartre wrote No Exit."
literature,"Which novelist created Heathcliff?","Emily Brontë created Heathcliff in Wuthering Heights."
literature,"Who wrote The Blind Assassin?","Margaret Atwood wrote The Blind Assassin."
literature,"Which poet wrote Annabel Lee?","Edgar Allan Poe wrote Annabel Lee."
literature,"Who wrote The Golden Notebook?","Doris Lessing wrote The Golden Notebook."
literature,"Which novelist created Holden Caulfield?","J.D. Salinger in The Catcher in the Rye."
literature,"Who wrote The Trial and Death of Socrates?","Plato wrote accounts including the Apology."
literature,"Which poet wrote Ode to the West Wind?","Percy Bysshe Shelley wrote it."
literature,"Who wrote Black Boy?","Richard Wright wrote Black Boy."
literature,"Which novelist wrote Cry, the Peacock?","Anita Desai wrote Cry, the Peacock."
literature,"Who wrote Gravity’s Rainbow?","Thomas Pynchon wrote Gravity’s Rainbow."
literature,"Which author created Hercule Poirot?","Agatha Christie created Hercule Poirot."
literature,"Who wrote The White Tiger?","Aravind Adiga wrote The White Tiger."
literature,"Which poet wrote Stopping by Woods on a Snowy Evening?","Robert Frost wrote it."
literature,"Who wrote The Alchemist?","Paulo Coelho wrote The Alchemist."
literature,"Which play features Falstaff?","Henry IV by William Shakespeare features Falstaff."
literature,"Who wrote Cry, the Peacock?","Anita Desai wrote it."
literature,"Which Russian author wrote Fathers and Sons?","Ivan Turgenev wrote Fathers and Sons."
literature,"Who wrote The Remains of the Day?","Kazuo Ishiguro wrote The Remains of the Day."
literature,"Which poet wrote The Love Song of J. Alfred Prufrock?","T.S. Eliot wrote it."
literature,"Who wrote A Clockwork Orange?","Anthony Burgess wrote A Clockwork Orange."
literature,"Which English novelist wrote The Mayor of Casterbridge?","Thomas Hardy wrote The Mayor of Casterbridge."
literature,"Who wrote The Name of the Rose?","Umberto Eco wrote The Name of the Rose."
literature,"Which play features Viola disguised as Cesario?","Twelfth Night by Shakespeare."
literature,"Who wrote The Hobbit?","J.R.R. Tolkien wrote The Hobbit."
literature,"Which poet wrote Fern Hill?","Dylan Thomas wrote Fern Hill."
literature,"Who wrote White Noise?","Don DeLillo wrote White Noise."
literature,"Which novel features Celie as the main character?","The Color Purple by Alice Walker."
literature,"Who wrote Death in Venice?","Thomas Mann wrote Death in Venice."
literature,"Which American poet wrote Harlem?","Langston Hughes wrote Harlem."
literature,"Who wrote Siddhartha?","Hermann Hesse wrote Siddhartha."
literature,"Which novelist wrote Nostromo?","Joseph Conrad wrote Nostromo."
literature,"Who wrote Love in the Time of Cholera?","Gabriel García Márquez wrote it."
literature,"Which play features the witches’ prophecy?","Macbeth by William Shakespeare."
literature,"Who wrote If Beale Street Could Talk?","James Baldwin wrote If Beale Street Could Talk."
literature,"Which poet wrote The Rime of the Ancient Mariner?","Samuel Taylor Coleridge wrote it."
literature,"Who wrote Women in Love?","D.H. Lawrence wrote Women in Love."
literature,"Which novelist wrote The Trial?","Franz Kafka wrote The Trial."
literature,"Who wrote Persepolis?","Marjane Satrapi wrote Persepolis."
literature,"Which author created Miss Marple?","Agatha Christie created Miss Marple."
literature,"Who wrote The Prince and the Pauper?","Mark Twain wrote The Prince and the Pauper."
literature,"Which poet wrote The Hollow Men?","T.S. Eliot wrote The Hollow Men."
literature,"Who wrote The God of Small Things?","Arundhati Roy wrote The God of Small Things."
literature,"Which Russian novelist wrote The Seagull?","Anton Chekhov wrote The Seagull."
literature,"Who wrote The Bluest Eye?","Toni Morrison wrote The Bluest Eye."
literature,"Which poet wrote My Last Duchess?","Robert Browning wrote My Last Duchess."
literature,"Who wrote Lord of the Flies?","William Golding wrote Lord of the Flies."
literature,"Which play features Blanche DuBois?","A Streetcar Named Desire by Tennessee Williams."
literature,"Who wrote The Outsiders?","S.E. Hinton wrote The Outsiders."
literature,"Which poet wrote She Walks in Beauty?","Lord Byron wrote She Walks in Beauty."
literature,"Who wrote The Poisonwood Bible?","Barbara Kingsolver wrote The Poisonwood Bible."
literature,"Which novelist created the character Meursault?","Albert Camus created Meursault in The Stranger."
literature,"Who wrote The Call of Cthulhu?","H.P. Lovecraft wrote The Call of Cthulhu."
literature,"Who wrote The Wind in the Willows?","Kenneth Grahame wrote The Wind in the Willows."
literature,"Which novelist created the character Tom Ripley?","Patricia Highsmith created Tom Ripley."
literature,"Who wrote The Secret Garden?","Frances Hodgson Burnett wrote The Secret Garden."
literature,"Which poet wrote The Charge of the Light Brigade?","Alfred, Lord Tennyson wrote The Charge of the Light Brigade."
literature,"Who wrote The Little Prince?","Antoine de Saint-Exupéry wrote The Little Prince."
literature,"Which playwright wrote The Glass Menagerie?","Tennessee Williams wrote The Glass Menagerie."
literature,"Who wrote The Tale of Genji?","Murasaki Shikibu wrote The Tale of Genji."
literature,"Which poet wrote To His Coy Mistress?","Andrew Marvell wrote To His Coy Mistress."
type,question,oracle_response
literature,"Who wrote the play about two young lovers from feuding families? The story ends with their tragic deaths in Verona.","William Shakespeare wrote Romeo and Juliet."
literature,"Which novel tells of a captain’s obsession with a whale? The narrator begins the story by saying, 'Call me Ishmael.'","Herman Melville wrote Moby-Dick."
literature,"Who created the detective famous for his sharp deductions? He lived at 221B Baker Street with Dr. Watson.","Sir Arthur Conan Doyle created Sherlock Holmes."
literature,"Which book features Elizabeth Bennet navigating love and society? Her relationship with Mr. Darcy is central to the story.","Jane Austen wrote Pride and Prejudice."
literature,"Who imagined a future where Big Brother watches everyone? The protagonist Winston Smith secretly rebels.","George Orwell wrote 1984."
literature,"Which novel features a scientist who creates life from corpses? The creature he makes becomes a source of horror and sorrow.","Mary Shelley wrote Frankenstein."
literature,"Who is called the Bard of Avon? He wrote tragedies, comedies, and histories still performed today.","William Shakespeare is the Bard of Avon."
literature,"Which story follows a boy growing up along the Mississippi River? He runs away with a runaway slave named Jim.","Mark Twain wrote Adventures of Huckleberry Finn."
literature,"Who wrote the great Russian novel about war and peace? It features characters like Pierre Bezukhov and Natasha Rostov.","Leo Tolstoy wrote War and Peace."
literature,"Which book starts with 'It was the best of times, it was the worst of times'? The story is set during the French Revolution.","Charles Dickens wrote A Tale of Two Cities."
literature,"Who created the world of Middle-earth with hobbits and elves? His epic trilogy is beloved by fantasy readers.","J.R.R. Tolkien wrote The Lord of the Rings."
literature,"Which play features a tragic king who unknowingly marries his mother? The truth is revealed through a prophecy and investigation.","Sophocles wrote Oedipus Rex."
literature,"Who wrote the poem about a bird repeating the word 'Nevermore'? It remains one of the most famous gothic poems.","Edgar Allan Poe wrote The Raven."
literature,"Which novel tells of the Buendía family across generations? It blends magical realism with Colombian history.","Gabriel García Márquez wrote One Hundred Years of Solitude."
literature,"Who created the miser Ebenezer Scrooge? The story shows his transformation one Christmas Eve.","Charles Dickens wrote A Christmas Carol."
literature,"Which play contains the famous line 'The rest is silence'? It comes at the very end of the tragedy.","William Shakespeare wrote Hamlet."
literature,"Who wrote the novel about the knight who tilts at windmills? His loyal companion is Sancho Panza.","Miguel de Cervantes wrote Don Quixote."
literature,"Which dystopian novel imagines a society controlled by conditioning and drugs? People sacrifice individuality for stability.","Aldous Huxley wrote Brave New World."
literature,"Who wrote the epic poem about Satan’s fall and humankind’s loss of Eden? It remains a cornerstone of English literature.","John Milton wrote Paradise Lost."
literature,"Which American novel follows the Joad family during the Dust Bowl? It portrays their migration westward.","John Steinbeck wrote The Grapes of Wrath."
literature,"Who wrote the gothic novel about Catherine and Heathcliff? It is set on the Yorkshire moors.","Emily Brontë wrote Wuthering Heights."
literature,"Which play contains the line 'All the world’s a stage'? A character compares life to a performance.","William Shakespeare wrote As You Like It."
literature,"Who wrote the novel about Anna’s doomed love affair? It ends in tragedy on a railway track.","Leo Tolstoy wrote Anna Karenina."
literature,"Which writer created the poem 'Ode to a Nightingale'? It is one of the greatest Romantic odes.","John Keats wrote Ode to a Nightingale."
literature,"Who wrote the play where characters wait endlessly for someone? The figure they await never arrives.","Samuel Beckett wrote Waiting for Godot."
literature,"Which French novel follows the struggles of Jean Valjean? It includes the student uprising in Paris.","Victor Hugo wrote Les Misérables."
literature,"Who wrote the novel about Holden Caulfield? The story captures teenage angst and alienation.","J.D. Salinger wrote The Catcher in the Rye."
literature,"Which play portrays the downfall of Willy Loman? It critiques the American dream.","Arthur Miller wrote Death of a Salesman."
literature,"Who wrote the novel about Atticus Finch defending a black man in court? His daughter Scout narrates the tale.","Harper Lee wrote To Kill a Mockingbird."
literature,"Which poet wrote the epic about the wrath of Achilles? It is one of the oldest works of Western literature.","Homer wrote the Iliad."
literature,"Who wrote the gothic story about a vampire in Transylvania? The novel helped define the vampire genre.","Bram Stoker wrote Dracula."
literature,"Which Russian novel examines the crime of Raskolnikov? It explores guilt, morality, and redemption.","Fyodor Dostoevsky wrote Crime and Punishment."
literature,"Who wrote the collection of tales told by pilgrims? The characters share their stories on the road to Canterbury.","Geoffrey Chaucer wrote The Canterbury Tales."
literature,"Which Shakespeare play features Lady Macbeth urging her husband to murder? It ends with madness and bloodshed.","William Shakespeare wrote Macbeth."
literature,"Who wrote the experimental novel set in Dublin over a single day? Its hero is Leopold Bloom.","James Joyce wrote Ulysses."
literature,"Which poet wrote the American classic Leaves of Grass? It celebrates democracy, nature, and the self.","Walt Whitman wrote Leaves of Grass."
literature,"Who wrote the story of a young man who never ages while his portrait does? It explores vanity and morality.","Oscar Wilde wrote The Picture of Dorian Gray."
literature,"Which novel features Elizabeth Bennet’s wit and independence? She ultimately overcomes prejudice in love.","Jane Austen wrote Pride and Prejudice."
literature,"Who wrote the Southern novel about the decline of the Compson family? It uses shifting narrators and stream of consciousness.","William Faulkner wrote The Sound and the Fury."
literature,"Which Russian novel features three brothers and questions of faith? It is the author’s last major work.","Fyodor Dostoevsky wrote The Brothers Karamazov."
literature,"Who wrote the modernist poem The Waste Land? It is filled with fragments and literary allusions.","T.S. Eliot wrote The Waste Land."
literature,"Which novella follows an old fisherman battling a giant marlin? It won its author the Nobel Prize.","Ernest Hemingway wrote The Old Man and the Sea."
literature,"Who created the character Quasimodo in a cathedral setting? The novel mixes romance and social criticism.","Victor Hugo wrote The Hunchback of Notre-Dame."
literature,"Which novel tells of Billy Pilgrim becoming 'unstuck in time'? It blends satire with reflections on war.","Kurt Vonnegut wrote Slaughterhouse-Five."
literature,"Who wrote the American novel about the letter 'A' on a woman’s dress? It is a story of sin and redemption.","Nathaniel Hawthorne wrote The Scarlet Letter."
literature,"Which Shakespeare comedy features a mischievous fairy named Puck? It also has lovers lost in a forest.","William Shakespeare wrote A Midsummer Night’s Dream."
literature,"Who wrote the Nigerian novel about Okonkwo? It examines tradition and colonial disruption.","Chinua Achebe wrote Things Fall Apart."
literature,"Which poet wrote haunting verses about death and eternity? She lived reclusively in Amherst, Massachusetts.","Emily Dickinson wrote Because I could not stop for Death."
literature,"Who wrote the war novel about Henry Fleming? It depicts the fear and courage of a young Union soldier.","Stephen Crane wrote The Red Badge of Courage."
literature,"Which poet wrote about death in a pastoral landscape? The poem famously begins 'Whose woods these are I think I know.'","Robert Frost wrote Stopping by Woods on a Snowy Evening."
literature,"Who wrote the Southern novel about Sethe, a woman haunted by her past? It won the Pulitzer Prize for Fiction.","Toni Morrison wrote Beloved."
literature,"Which Irish poet wrote about Byzantium and the soul? His works are central to 20th-century poetry.","W.B. Yeats wrote Sailing to Byzantium."
literature,"Who wrote the satirical war novel about Yossarian? It gave English the term 'catch-22.'","Joseph Heller wrote Catch-22."
literature,"Which children’s fantasy series begins with a wardrobe? It takes readers into the land of Narnia.","C.S. Lewis wrote The Chronicles of Narnia."
literature,"Who wrote the dystopian story where books are burned? A fireman becomes a rebel by saving one.","Ray Bradbury wrote Fahrenheit 451."
literature,"Which Shakespeare tragedy tells of an aging king and his daughters? Betrayal leads to his madness and death.","William Shakespeare wrote King Lear."
literature,"Who wrote the semi-autobiographical novel about Esther Greenwood? It explores mental illness and gender roles.","Sylvia Plath wrote The Bell Jar."
literature,"Which German novella tells of Gregor Samsa waking up as an insect? It is a classic of absurdist literature.","Franz Kafka wrote The Metamorphosis."
literature,"Who wrote the English novel about an Indian trial? It highlights cultural clashes under British rule.","E.M. Forster wrote A Passage to India."
literature,"Which feminist essay argues that women need financial independence and space? It influenced literary criticism.","Virginia Woolf wrote A Room of One’s Own."
literature,"Who wrote the modernist novel Mrs. Dalloway? It follows a single day in a woman’s life.","Virginia Woolf wrote Mrs. Dalloway."
literature,"Which American novel begins 'So we beat on, boats against the current'? It critiques the Jazz Age dream.","F. Scott Fitzgerald wrote The Great Gatsby."
literature,"Who wrote the harrowing novella about colonialism on the Congo River? Its narrator is named Marlow.","Joseph Conrad wrote Heart of Darkness."
literature,"Which play features a witty duel between Jack and Algernon? It satirizes Victorian society.","Oscar Wilde wrote The Importance of Being Earnest."
literature,"Who wrote the short novel about two migrant workers in California? Its tragic ending involves mercy killing.","John Steinbeck wrote Of Mice and Men."
literature,"Which Romantic poet wrote a sonnet about a ruined statue in the desert? The poem warns of hubris.","Percy Bysshe Shelley wrote Ozymandias."
literature,"Who wrote the Victorian novel about a poor orphan named Pip? It charts his rise and moral education.","Charles Dickens wrote Great Expectations."
literature,"Which tragedy features the Moorish general Othello? He is manipulated by his ensign Iago.","William Shakespeare wrote Othello."
literature,"Who wrote the dystopian tale of handmaids forced to bear children? It imagines a theocratic regime.","Margaret Atwood wrote The Handmaid’s Tale."
literature,"Which American writer created the poem 'Song of Myself'? It celebrates individuality and democracy.","Walt Whitman wrote Song of Myself."
literature,"Who wrote the dark allegory of boys stranded on an island? Civilization collapses into savagery.","William Golding wrote Lord of the Flies."
literature,"Which play features Blanche DuBois seeking kindness? Her fragile world clashes with brutal reality.","Tennessee Williams wrote A Streetcar Named Desire."
literature,"Who wrote the coming-of-age novel about Ponyboy Curtis? It explores teenage gangs and identity.","S.E. Hinton wrote The Outsiders."
literature,"Which Romantic poet wrote 'She Walks in Beauty'? The poem admires a woman’s grace and charm.","Lord Byron wrote She Walks in Beauty."
literature,"Who wrote the Pulitzer Prize–winning novel about the Price family in Africa? It blends history with religion.","Barbara Kingsolver wrote The Poisonwood Bible."
type,question,oracle_response
literature,"Who wrote the novel about Jay Gatsby and his longing for Daisy? It portrays wealth, love, and disillusion in the Jazz Age.","F. Scott Fitzgerald wrote The Great Gatsby, a defining work of American modernist literature."
literature,"Which epic poem tells of Aeneas’s journey from Troy to Italy? It links Roman origins to Homeric tradition.","Virgil wrote The Aeneid, blending myth and history for Rome’s national epic."
literature,"Who wrote about a magical rabbit hole that leads to Wonderland? The heroine meets the Mad Hatter and the Cheshire Cat.","Lewis Carroll wrote Alice’s Adventures in Wonderland, a classic of children’s fantasy."
literature,"Which Russian novel portrays a man questioning morality after committing murder? The protagonist struggles with guilt and redemption.","Fyodor Dostoevsky wrote Crime and Punishment, a masterpiece of psychological realism."
literature,"Who created the character Hamlet, Prince of Denmark? His indecision leads to tragedy and death.","William Shakespeare wrote Hamlet, one of the most influential tragedies in Western literature."
literature,"Which American poet wrote 'I Sing the Body Electric'? His work celebrates democracy and humanity.","Walt Whitman included it in Leaves of Grass, his groundbreaking collection of poems."
literature,"Who wrote the gothic short story about a house that collapses into ruins? It symbolizes decay and madness.","Edgar Allan Poe wrote The Fall of the House of Usher, a staple of gothic fiction."
literature,"Which French novelist wrote about the struggles of Cosette and Fantine? His work blends romance, politics, and redemption.","Victor Hugo wrote Les Misérables, one of the most famous novels of the 19th century."
literature,"Who wrote a novel where the river is both setting and metaphor? It follows a man’s dark journey into Africa.","Joseph Conrad wrote Heart of Darkness, a critique of colonial exploitation."
literature,"Which Shakespeare play centers on jealousy and manipulation? The Moorish general becomes consumed by suspicion.","William Shakespeare wrote Othello, a tragedy of race, love, and betrayal."
literature,"Who wrote a postmodern novel featuring Tyrone Slothrop? It is dense, complex, and filled with paranoia.","Thomas Pynchon wrote Gravity’s Rainbow, a towering novel of the 20th century."
literature,"Which novel begins with Gregor Samsa waking up as a bug? The tale reflects alienation and absurdity.","Franz Kafka wrote The Metamorphosis, one of the defining works of existential literature."
literature,"Who wrote a novel about Sethe, a woman haunted by slavery? It mixes realism with ghostly presences.","Toni Morrison wrote Beloved, which won the Pulitzer Prize for Fiction."
literature,"Which medieval poem is divided into Inferno, Purgatorio, and Paradiso? It follows a soul’s journey guided by Virgil and Beatrice.","Dante Alighieri wrote The Divine Comedy, one of the greatest works of world literature."
literature,"Who wrote the Southern Gothic novel about a preacher obsessed with the whale? Wait—no, that’s wrong. Let’s try again: who wrote the Southern Gothic novel about violence and redemption?","Flannery O’Connor wrote Wise Blood, which examines faith and grotesque imagery."
